Distrito local,Cve Mpio,Nombre Municipio,Secc,Listado Nominal Total,PRIO
14,61,Ocozocoautla de Espinoza,894,5677,SI
14,61,Ocozocoautla de Espinoza,895,5131,SI
14,61,Ocozocoautla de Espinoza,887,4771,SI
14,61,Ocozocoautla de Espinoza,901,4244,SI
14,61,Ocozocoautla de Espinoza,885,3618,SI
14,61,Ocozocoautla de Espinoza,897,3060,SI
14,61,Ocozocoautla de Espinoza,893,3004,SI
14,61,Ocozocoautla de Espinoza,890,2987,SI
14,61,Ocozocoautla de Espinoza,898,2969,SI
14,61,Ocozocoautla de Espinoza,892,2804,NO
14,61,Ocozocoautla de Espinoza,888,2544,NO
14,61,Ocozocoautla de Espinoza,903,2367,NO
14,61,Ocozocoautla de Espinoza,909,2284,NO
14,61,Ocozocoautla de Espinoza,912,1921,NO
14,61,Ocozocoautla de Espinoza,905,1864,NO
14,61,Ocozocoautla de Espinoza,889,1764,NO
14,61,Ocozocoautla de Espinoza,886,1665,NO
14,61,Ocozocoautla de Espinoza,899,1658,NO
14,61,Ocozocoautla de Espinoza,2111,1511,NO
14,61,Ocozocoautla de Espinoza,910,1496,NO
14,61,Ocozocoautla de Espinoza,911,1452,NO
14,61,Ocozocoautla de Espinoza,891,1275,NO
14,61,Ocozocoautla de Espinoza,907,1246,NO
14,61,Ocozocoautla de Espinoza,904,1177,NO
14,61,Ocozocoautla de Espinoza,906,1111,NO
14,61,Ocozocoautla de Espinoza,2110,1100,NO
14,61,Ocozocoautla de Espinoza,2112,1056,NO
14,61,Ocozocoautla de Espinoza,896,1008,NO
14,61,Ocozocoautla de Espinoza,908,851,NO
14,61,Ocozocoautla de Espinoza,902,645,NO
14,61,Ocozocoautla de Espinoza,2109,619,NO
2,102,Tuxtla Gutiérrez ,1638,10042,SI
2,102,Tuxtla Gutiérrez ,1640,8652,SI
13,102,Tuxtla Gutiérrez ,1741,8449,SI
1,102,Tuxtla Gutiérrez ,1622,6938,SI
13,102,Tuxtla Gutiérrez ,1747,6832,SI
13,102,Tuxtla Gutiérrez ,1735,6625,SI
1,102,Tuxtla Gutiérrez ,1610,6419,SI
13,102,Tuxtla Gutiérrez ,1748,6308,SI
1,102,Tuxtla Gutiérrez ,1750,6049,SI
1,102,Tuxtla Gutiérrez ,1609,5595,SI
13,102,Tuxtla Gutiérrez ,1742,5572,SI
13,102,Tuxtla Gutiérrez ,1729,4907,SI
1,102,Tuxtla Gutiérrez ,1608,4662,SI
2,102,Tuxtla Gutiérrez ,1615,4654,SI
13,102,Tuxtla Gutiérrez ,1730,4208,SI
13,102,Tuxtla Gutiérrez ,1746,4179,SI
2,102,Tuxtla Gutiérrez ,1703,4008,SI
1,102,Tuxtla Gutiérrez ,1611,3816,SI
2,102,Tuxtla Gutiérrez ,1617,3677,SI
1,102,Tuxtla Gutiérrez ,1629,3627,SI
1,102,Tuxtla Gutiérrez ,1605,3580,SI
1,102,Tuxtla Gutiérrez ,1604,3579,SI
1,102,Tuxtla Gutiérrez ,1603,3391,SI
1,102,Tuxtla Gutiérrez ,1663,3382,SI
13,102,Tuxtla Gutiérrez ,1745,3314,SI
1,102,Tuxtla Gutiérrez ,1661,3264,SI
13,102,Tuxtla Gutiérrez ,1738,3141,SI
13,102,Tuxtla Gutiérrez ,1706,3126,SI
2,102,Tuxtla Gutiérrez ,1614,3112,SI
1,102,Tuxtla Gutiérrez ,1625,3088,SI
2,102,Tuxtla Gutiérrez ,2165,3054,SI
13,102,Tuxtla Gutiérrez ,2197,3017,SI
1,102,Tuxtla Gutiérrez ,2159,2973,SI
1,102,Tuxtla Gutiérrez ,1657,2966,SI
1,102,Tuxtla Gutiérrez ,1659,2961,SI
1,102,Tuxtla Gutiérrez ,1751,2885,SI
2,102,Tuxtla Gutiérrez ,2166,2845,SI
13,102,Tuxtla Gutiérrez ,2196,2845,SI
2,102,Tuxtla Gutiérrez ,2164,2827,SI
2,102,Tuxtla Gutiérrez ,2169,2826,SI
2,102,Tuxtla Gutiérrez ,2168,2802,SI
13,102,Tuxtla Gutiérrez ,2119,2786,SI
1,102,Tuxtla Gutiérrez ,1685,2718,SI
